MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
AIM/CGE,SSP2-60,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,1.6897843,1.837859,2.175144,2.5343571,2.9008797,3.2568931,3.5894164,3.9012007,4.1987484,4.4867191,4.7651869
AIM/CGE,SSP2-60,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,0.021105041,0.031102416,0.061508545,0.097462928,0.13436178,0.17363073,0.21148019,0.24384653,0.25397302,0.24147579,0.23022236
AIM/CGE,SSP2-60,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,2.3467499,2.5390686,2.966244,3.4007573,3.8287415,4.2480277,4.6391522,5.0011067,5.3229836,5.6044121,5.8731851
AIM/CGE,SSP2-60,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,0.15571104,0.16780423,0.19087775,0.21267534,0.23384,0.25598644,0.27815428,0.29912517,0.31866921,0.33613367,0.35147036
AIM/CGE,SSP2-60,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.91338626,0.9890618,1.2501932,1.5249804,1.8239113,2.1276466,2.4034436,2.6631487,2.9083367,3.1306101,3.3345433
AIM/CGE,SSP2-Baseline,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,1753.16,1812.864,1952.0999,2111.1803,2262.4769,2400.843,2532.2335,2655.2951,2762.1261,2848.5002,2915.062
AIM/CGE,SSP2-Baseline,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.5053,417.07171,449.39589,486.63006,528.1789,573.14662,621.21833,673.02948,729.55771,791.46585
AIM/CGE,SSP2-Baseline,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,319.855,323.68957,331.58187,340.37408,349.87846,359.83468,370.07975,380.49484,390.87861,401.03033,410.76299
AIM/CGE,SSP2-Baseline,World,Diagnostics|MAGICC6|Forcing,W/m2,1.8709164,2.1365469,2.6683572,3.2138741,3.8050555,4.4029422,4.9494221,5.4939089,6.0363996,6.5792717,7.1227128
AIM/CGE,SSP2-Baseline,World,Diagnostics|MAGICC6|Forcing|Aerosol,W/m2,-1.11516835,-1.05453289,-0.98113863,-0.96107598,-0.87048675,-0.74803427,-0.71138023,-0.68142571,-0.65245879,-0.62231763,-0.59004142
AIM/CGE,SSP2-Baseline,World,Diagnostics|MAGICC6|Forcing|CH4,W/m2,0.562304717,0.58827586,0.647186972,0.71191196,0.77118415,0.82363212,0.87201614,0.9161753,0.95366362,0.98343084,1.00605421
AIM/CGE,SSP2-Baseline,World,Diagnostics|MAGICC6|Forcing|CO2,W/m2,1.6897843,1.837859,2.1901358,2.5896711,3.015722,3.4542486,3.8915744,4.3226621,4.7514243,5.1830917,5.6190352
AIM/CGE,SSP2-Baseline,World,Diagnostics|MAGICC6|Forcing|F-Gases,W/m2,0.021105041,0.031102416,0.061519292,0.097709847,0.13543321,0.1762643,0.21930602,0.26370407,0.30971332,0.35676148,0.40417276
AIM/CGE,SSP2-Baseline,World,Diagnostics|MAGICC6|Forcing|Kyoto Gases,W/m2,2.3467499,2.5390686,2.9966708,3.5147182,4.057956,4.6119031,5.1638224,5.7073244,6.2439152,6.7768145,7.3067299
AIM/CGE,SSP2-Baseline,World,Diagnostics|MAGICC6|Forcing|N2O,W/m2,0.15571104,0.16780423,0.19246774,0.21959531,0.2485234,0.27840246,0.308714,0.33909563,0.36896917,0.39778885,0.42507391
AIM/CGE,SSP2-Baseline,World,Diagnostics|MAGICC6|Temperature|Global Mean,°C,0.91338626,0.98884435,1.2518472,1.5530732,1.9065461,2.2859004,2.6509906,3.0162024,3.385212,3.7566307,4.1254086
AIM/CGE,SSP3-34,World,Diagnostics|MAGICC6|Concentration|CH4,ppb,1753.16,1812.864,1947.5717,2091.5537,2065.384,1884.6669,1767.598,1722.8331,1697.964,1686.4428,1683.6815
AIM/CGE,SSP3-34,World,Diagnostics|MAGICC6|Concentration|CO2,ppm,379.85,390.5053,417.07362,447.32653,470.76049,483.41998,490.47251,492.76023,490.72217,485.81128,479.13279
AIM/CGE,SSP3-34,World,Diagnostics|MAGICC6|Concentration|N2O,ppb,319.855,323.68957,331.54097,340.01592,346.96881,351.88448,356.89933,361.86602,366.56202,371.04304,375.35505
AIM/CGE,SSP3-34,World,Diagnostics|MAGICC6|Forcing,W/m2,1.8709164,2.1334614,2.6203803,3.1442717,3.5830054,3.6544032,3.6702804,3.671116,3.6403535,3.5885717,3.5224112
