Year,Census,Source,Value
2009,Middle Atlantic,Nuclear,0.37432087
2009,Middle Atlantic,Other,0.012681723
2009,Middle Atlantic,Renewable,0.094361374
2009,Mountain,Coal,0.544742446
2009,Mountain,Natural Gas,0.248499524
2009,Mountain,Nuclear,0.083026559
2009,Mountain,Other,0.004264465
2009,Mountain,Renewable,0.119467006
2009,New England,Coal,0.118680814
2009,New England,Natural Gas,0.41942465
2009,New England,Nuclear,0.297788034
2009,New England,Other,0.026096171
2009,New England,Renewable,0.138010331
2009,Pacific,Coal,0.038721194
2009,Pacific,Natural Gas,0.378327957
2009,Pacific,Nuclear,0.10008559
2009,Pacific,Other,0.037496143
2009,Pacific,Renewable,0.445369116
2009,South Atlantic,Coal,0.455475571
2009,South Atlantic,Natural Gas,0.223828189
2009,South Atlantic,Nuclear,0.260460455
2009,South Atlantic,Other,0.019652374
2009,South Atlantic,Renewable,0.040583411
2009,West North Central,Coal,0.717930856
2009,West North Central,Natural Gas,0.033328258
2009,West North Central,Nuclear,0.144161743
2009,West North Central,Other,0.004511646
2009,West North Central,Renewable,0.100067497
2009,West South Central,Coal,0.356553946
2009,West South Central,Natural Gas,0.449377623
2009,West South Central,Nuclear,0.118336235
2009,West South Central,Other,0.014520024
2009,West South Central,Renewable,0.061212172
2010,East North Central,Coal,0.664926535
2010,East North Central,Natural Gas,0.057388331
2010,East North Central,Nuclear,0.239784482
2010,East North Central,Other,0.00886952
2010,East North Central,Renewable,0.029031131
2010,East South Central,Coal,0.545974297
2010,East South Central,Natural Gas,0.188523415
2010,East South Central,Nuclear,0.194531235
2010,East South Central,Other,0.0071004
2010,East South Central,Renewable,0.063870652
2010,Middle Atlantic,Coal,0.301505593
2010,Middle Atlantic,Natural Gas,0.248696266
2010,Middle Atlantic,Nuclear,0.352614335
2010,Middle Atlantic,Other,0.009921773
2010,Middle Atlantic,Renewable,0.087262034
2010,Mountain,Coal,0.564273058
2010,Mountain,Natural Gas,0.222902832
2010,Mountain,Nuclear,0.085234602
2010,Mountain,Other,0.004799958
2010,Mountain,Renewable,0.12278955
2010,New England,Coal,0.108537878
2010,New England,Natural Gas,0.451899988
2010,New England,Nuclear,0.295706392
2010,New England,Other,0.020182296
2010,New England,Renewable,0.123673446
2010,Pacific,Coal,0.044487547
2010,Pacific,Natural Gas,0.36096553
2010,Pacific,Nuclear,0.108965577
2010,Pacific,Other,0.035028917
2010,Pacific,Renewable,0.450552429
2010,South Atlantic,Coal,0.46437829
2010,South Atlantic,Natural Gas,0.242735367
2010,South Atlantic,Nuclear,0.237685538
2010,South Atlantic,Other,0.01699335
2010,South Atlantic,Renewable,0.038207454
2010,West North Central,Coal,0.697165027
2010,West North Central,Natural Gas,0.039528086
2010,West North Central,Nuclear,0.142817867
2010,West North Central,Other,0.005248972
2010,West North Central,Renewable,0.115240048
2010,West South Central,Coal,0.360779582
2010,West South Central,Natural Gas,0.439369399
2010,West South Central,Nuclear,0.115766742
2010,West South Central,Other,0.014938333
2010,West South Central,Renewable,0.069145944
2011,East North Central,Coal,0.632688899
2011,East North Central,Natural Gas,0.075567039
2011,East North Central,Nuclear,0.246415998
2011,East North Central,Other,0.011046242
2011,East North Central,Renewable,0.034281821
2011,East South Central,Coal,0.513633703
2011,East South Central,Natural Gas,0.212852291
2011,East South Central,Nuclear,0.197777519
2011,East South Central,Other,0.005499645
2011,East South Central,Renewable,0.070236843
2011,Middle Atlantic,Coal,0.265870971
2011,Middle Atlantic,Natural Gas,0.274285139
2011,Middle Atlantic,Nuclear,0.354965643
2011,Middle Atlantic,Other,0.00897251
2011,Middle Atlantic,Renewable,0.095905737
2011,Mountain,Coal,0.546649533
2011,Mountain,Natural Gas,0.194849655
2011,Mountain,Nuclear,0.08572873
2011,Mountain,Other,0.004477011
2011,Mountain,Renewable,0.168295071
2011,New England,Coal,0.055522018
2011,New England,Natural Gas,0.512707493
2011,New England,Nuclear,0.277961164
2011,New England,Other,0.01802533
2011,New England,Renewable,0.135783996
2011,Pacific,Coal,0.032094778
2011,Pacific,Natural Gas,0.270053685
2011,Pacific,Nuclear,0.10542466
2011,Pacific,Other,0.033771181
2011,Pacific,Renewable,0.558655697
2011,South Atlantic,Coal,0.425721966
2011,South Atlantic,Natural Gas,0.279004147
2011,South Atlantic,Nuclear,0.246293225
2011,South Atlantic,Other,0.009396144
2011,South Atlantic,Renewable,0.039584518
2011,West North Central,Coal,0.697260412
2011,West North Central,Natural Gas,0.036047791
2011,West North Central,Nuclear,0.122549979
2011,West North Central,Other,0.00295345
2011,West North Central,Renewable,0.141188367
2011,West South Central,Coal,0.364064482
