"Model_year","Size","Technology","Material","Value"
"1977","Light truck","ICEV-D","Mild steel and other steels","948.040872174362"
"1977","Light truck","ICEV-D","Wrought Aluminum","13.3058330594652"
"1977","Light truck","ICEV-D","Cast Aluminum","33.0559546041765"
"1977","Light truck","ICEV-D","Other","480.441735519201"
"1977","Light truck","ICEV-D","Total","1876.05894950474"
"1977","Light truck","CNG","HSS/AHSS","392.668133239019"
"1977","Light truck","CNG","Cast Iron","121.013264463742"
"1977","Light truck","CNG","Mild steel and other steels","742.710459779416"
"1977","Light truck","CNG","Wrought Aluminum","58.4226013560277"
"1977","Light truck","CNG","Cast Aluminum","137.164922721696"
"1977","Light truck","CNG","Other","585.018195936627"
"1977","Light truck","CNG","Total","2036.99757749653"
"1977","Light truck","HEV","HSS/AHSS","396.36316095983"
"1977","Light truck","HEV","Cast Iron","86.6726218468701"
"1977","Light truck","HEV","Mild steel and other steels","830.53115861093"
"1977","Light truck","HEV","Wrought Aluminum","51.818086893305"
"1977","Light truck","HEV","Cast Aluminum","161.07319048439"
"1977","Light truck","HEV","Other","670.78924691619"
"1977","Light truck","HEV","Total","2197.24746571152"
"1977","Light truck","PHEV20","HSS/AHSS","396.533720706894"
"1977","Light truck","PHEV20","Cast Iron","84.5569219905413"
"1977","Light truck","PHEV20","Mild steel and other steels","844.062273305508"
"1977","Light truck","PHEV20","Wrought Aluminum","51.8403846863405"
"1977","Light truck","PHEV20","Cast Aluminum","161.321130524458"
"1977","Light truck","PHEV20","Other","684.451373487208"
"1977","Light truck","PHEV20","Total","2222.76580470095"
"1977","Light truck","PHEV40","HSS/AHSS","397.432152769139"
"1977","Light truck","PHEV40","Cast Iron","91.6386722784689"
"1977","Light truck","PHEV40","Mild steel and other steels","887.920574299165"
"1977","Light truck","PHEV40","Wrought Aluminum","51.9578400071142"
"1977","Light truck","PHEV40","Cast Aluminum","189.207459372682"
"1977","Light truck","PHEV40","Other","841.230448846504"
"1977","Light truck","PHEV40","Total","2459.38714757307"
"1977","Light truck","FCV","HSS/AHSS","429.456963167862"
"1977","Light truck","FCV","Cast Iron","17.9472141349122"
"1977","Light truck","FCV","Mild steel and other steels","754.06620971285"
"1977","Light truck","FCV","Wrought Aluminum","87.4958500718528"
"1977","Light truck","FCV","Cast Aluminum","131.958976296135"
"1977","Light truck","FCV","Other","928.772034682237"
"1977","Light truck","FCV","Total","2349.69724806585"
"1978","Car","ICEV-G","HSS/AHSS","142.751187921625"
"1978","Car","ICEV-G","Cast Iron","205.314978832737"
"1978","Car","ICEV-G","Mild steel and other steels","816.415038844755"
"1978","Car","ICEV-G","Wrought Aluminum","13.2767196576496"
"1978","Car","ICEV-G","Cast Aluminum","32.9836275815475"
"1978","Car","ICEV-G","Other","416.798221102296"
"1978","Car","ICEV-G","Total","1627.53977231307"
"1978","Car","BEV100","HSS/AHSS","329.672136102412"
"1978","Car","BEV100","Cast Iron","13.7771579654915"
"1978","Car","BEV100","Mild steel and other steels","575.493790445109"
"1978","Car","BEV100","Wrought Aluminum","45.3661741464988"
"1978","Car","BEV100","Cast Aluminum","131.350644849465"
"1978","Car","BEV100","Other","677.464565492958"
"1978","Car","BEV100","Total","1773.12446900193"
"1978","Car","BEV300","HSS/AHSS","330.283933228708"
"1978","Car","BEV300","Cast Iron","13.8027252632057"
"1978","Car","BEV300","Mild steel and other steels","593.074464245133"
"1978","Car","BEV300","Wrought Aluminum","45.4503637175621"
"1978","Car","BEV300","Cast Aluminum","150.619832159557"
"1978","Car","BEV300","Other","1201.78257790502"
"1978","Car","BEV300","Total","2335.01389651919"
"1978","Car","FFV","HSS/AHSS","142.751187921625"
"1978","Car","FFV","Cast Iron","205.314978832737"
"1978","Car","FFV","Mild steel and other steels","816.415038844755"
"1978","Car","FFV","Wrought Aluminum","13.2767196576496"
"1978","Car","FFV","Cast Aluminum","32.9836275815475"
"1978","Car","FFV","Other","416.798221102296"
"1978","Car","FFV","Total","1627.53977231307"
"1978","Car","ICEV-D","HSS/AHSS","142.751187921625"
"1978","Car","ICEV-D","Cast Iron","205.314978832737"
"1978","Car","ICEV-D","Mild steel and other steels","816.415038844755"
"1978","Car","ICEV-D","Wrought Aluminum","13.2767196576496"
"1978","Car","ICEV-D","Cast Aluminum","32.9836275815475"
"1978","Car","ICEV-D","Other","416.798221102296"
"1978","Car","ICEV-D","Total","1627.53977231307"
"1978","Car","CNG","HSS/AHSS","326.791134613074"
"1978","Car","CNG","Cast Iron","110.114404054405"
"1978","Car","CNG","Mild steel and other steels","634.90364075173"
"1978","Car","CNG","Wrought Aluminum","51.9917591014301"
"1978","Car","CNG","Cast Aluminum","126.130743315543"
"1978","Car","CNG","Other","511.06622389351"
"1978","Car","CNG","Total","1760.99790572969"
"1978","Car","HEV","HSS/AHSS","330.418600023242"
"1978","Car","HEV","Cast Iron","78.7474544626553"
"1978","Car","HEV","Mild steel and other steels","718.676349600353"
"1978","Car","HEV","Wrought Aluminum","45.4688952776546"
"1978","Car","HEV","Cast Aluminum","144.568895963767"
"1978","Car","HEV","Other","582.367611698081"
"1978","Car","HEV","Total","1900.24780702575"
"1978","Car","PHEV20","HSS/AHSS","330.550074498057"
"1978","Car","PHEV20","Cast Iron","76.46341577455"
"1978","Car","PHEV20","Mild steel and other steels","729.294317265094"
"1978","Car","PHEV20","Wrought Aluminum","45.4869872783536"
"1978","Car","PHEV20","Cast Aluminum","143.59415889208"
"1978","Car","PHEV20","Other","581.504626441672"
"1978","Car","PHEV20","Total","1906.8935801498"
"1978","Car","PHEV40","HSS/AHSS","331.338394983126"
"1978","Car","PHEV40","Cast Iron","82.2547124067843"
