"Technology","Size","Year","Data_type","Value","Unit"
"FCV","Car",1982,"stock",0,"vehicle"
"FFV","Car",1982,"stock",0,"vehicle"
"HEV","Car",1982,"stock",0,"vehicle"
"ICEV-D","Car",1982,"stock",0,"vehicle"
"ICEV-G","Car",1982,"stock",126921096,"vehicle"
"PHEV20","Car",1982,"stock",0,"vehicle"
"PHEV40","Car",1982,"stock",0,"vehicle"
"BEV100","Light truck",1982,"stock",0,"vehicle"
"BEV300","Light truck",1982,"stock",0,"vehicle"
"CNG","Light truck",1982,"stock",0,"vehicle"
"FCV","Light truck",1982,"stock",0,"vehicle"
"FFV","Light truck",1982,"stock",0,"vehicle"
"HEV","Light truck",1982,"stock",0,"vehicle"
"ICEV-D","Light truck",1982,"stock",0,"vehicle"
"ICEV-G","Light truck",1982,"stock",36340129,"vehicle"
"PHEV20","Light truck",1982,"stock",0,"vehicle"
"PHEV40","Light truck",1982,"stock",0,"vehicle"
"BEV100","Car",1983,"stock",0,"vehicle"
"BEV300","Car",1983,"stock",0,"vehicle"
"CNG","Car",1983,"stock",0,"vehicle"
"FCV","Car",1983,"stock",0,"vehicle"
"FFV","Car",1983,"stock",0,"vehicle"
"HEV","Car",1983,"stock",0,"vehicle"
"ICEV-D","Car",1983,"stock",0,"vehicle"
"ICEV-G","Car",1983,"stock",129373474,"vehicle"
"PHEV20","Car",1983,"stock",0,"vehicle"
"PHEV40","Car",1983,"stock",0,"vehicle"
"BEV100","Light truck",1983,"stock",0,"vehicle"
"BEV300","Light truck",1983,"stock",0,"vehicle"
"CNG","Light truck",1983,"stock",0,"vehicle"
"FCV","Light truck",1983,"stock",0,"vehicle"
"FFV","Light truck",1983,"stock",0,"vehicle"
"HEV","Light truck",1983,"stock",0,"vehicle"
"ICEV-D","Light truck",1983,"stock",0,"vehicle"
"ICEV-G","Light truck",1983,"stock",38075001,"vehicle"
"PHEV20","Light truck",1983,"stock",0,"vehicle"
"PHEV40","Light truck",1983,"stock",0,"vehicle"
"BEV100","Car",1984,"stock",0,"vehicle"
"BEV300","Car",1984,"stock",0,"vehicle"
"CNG","Car",1984,"stock",0,"vehicle"
"FCV","Car",1984,"stock",0,"vehicle"
"FFV","Car",1984,"stock",0,"vehicle"
"HEV","Car",1984,"stock",0,"vehicle"
"ICEV-D","Car",1984,"stock",0,"vehicle"
"ICEV-G","Car",1984,"stock",130906187,"vehicle"
"PHEV20","Car",1984,"stock",0,"vehicle"
"PHEV40","Car",1984,"stock",0,"vehicle"
"BEV100","Light truck",1984,"stock",0,"vehicle"
"BEV300","Light truck",1984,"stock",0,"vehicle"
"CNG","Light truck",1984,"stock",0,"vehicle"
"FCV","Light truck",1984,"stock",0,"vehicle"
"FFV","Light truck",1984,"stock",0,"vehicle"
"HEV","Light truck",1984,"stock",0,"vehicle"
"ICEV-D","Light truck",1984,"stock",0,"vehicle"
"ICEV-G","Light truck",1984,"stock",39163260,"vehicle"
"PHEV20","Light truck",1984,"stock",0,"vehicle"
"PHEV40","Light truck",1984,"stock",0,"vehicle"
"BEV100","Car",1985,"stock",0,"vehicle"
"BEV300","Car",1985,"stock",0,"vehicle"
"CNG","Car",1985,"stock",0,"vehicle"
"FCV","Car",1985,"stock",0,"vehicle"
"FFV","Car",1985,"stock",0,"vehicle"
"HEV","Car",1985,"stock",0,"vehicle"
"ICEV-D","Car",1985,"stock",0,"vehicle"
"ICEV-G","Car",1985,"stock",130163783,"vehicle"
"PHEV20","Car",1985,"stock",0,"vehicle"
"PHEV40","Car",1985,"stock",0,"vehicle"
"BEV100","Light truck",1985,"stock",0,"vehicle"
"BEV300","Light truck",1985,"stock",0,"vehicle"
"CNG","Light truck",1985,"stock",0,"vehicle"
"FCV","Light truck",1985,"stock",0,"vehicle"
"FFV","Light truck",1985,"stock",0,"vehicle"
"HEV","Light truck",1985,"stock",0,"vehicle"
"ICEV-D","Light truck",1985,"stock",0,"vehicle"
"ICEV-G","Light truck",1985,"stock",45393340,"vehicle"
