"Technology","Region","Aeo_case","Aeo_year","Data_type","Size","Year","Unit","Value"
"BEV100","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",88
"BEV300","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"CNG","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",4473
"FCV","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"FFV","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",132953
"HEV","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",3308
"ICEV-D","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",3513
"ICEV-G","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",458299
"PHEV20","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"PHEV40","West South Central","Reference","AEO2014","Light-Duty Vehicle Sales ","Light truck",2011,"vehicle",0
"BEV100","East North Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",2355
"BEV300","East North Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",0
"CNG","East North Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",1941
"FCV","East North Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",0
"FFV","East North Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",52640
"HEV","East North Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",63692
"ICEV-D","East North Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",31931
"ICEV-G","East North Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",1091098
"PHEV20","East North Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",3026
"PHEV40","East North Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",4942
"BEV100","East South Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",181
"BEV300","East South Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",0
"CNG","East South Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",707
"FCV","East South Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",0
"FFV","East South Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",15617
"HEV","East South Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",17969
"ICEV-D","East South Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",8888
"ICEV-G","East South Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",331055
"PHEV20","East South Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",842
"PHEV40","East South Central","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",1311
"BEV100","Middle Atlantic","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",1389
"BEV300","Middle Atlantic","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",0
"CNG","Middle Atlantic","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",1459
"FCV","Middle Atlantic","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",0
"FFV","Middle Atlantic","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",43974
"HEV","Middle Atlantic","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",54139
"ICEV-D","Middle Atlantic","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",26065
"ICEV-G","Middle Atlantic","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",906111
"PHEV20","Middle Atlantic","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",2548
"PHEV40","Middle Atlantic","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",4069
"BEV100","Mountain","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",431
"BEV300","Mountain","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",0
"CNG","Mountain","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",939
"FCV","Mountain","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",0
"FFV","Mountain","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",20136
"HEV","Mountain","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",23771
"ICEV-D","Mountain","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",12214
"ICEV-G","Mountain","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",424405
"PHEV20","Mountain","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",1154
"PHEV40","Mountain","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",2032
"BEV100","New England","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",507
"BEV300","New England","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",0
"CNG","New England","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",608
"FCV","New England","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",0
"FFV","New England","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",16423
"HEV","New England","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",19820
"ICEV-D","New England","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",8508
"ICEV-G","New England","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",340936
"PHEV20","New England","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",887
"PHEV40","New England","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",1201
"BEV100","Pacific","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",10381
"BEV300","Pacific","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",0
"CNG","Pacific","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",2117
"FCV","Pacific","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",0
"FFV","Pacific","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",49735
"HEV","Pacific","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",61031
"ICEV-D","Pacific","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",34401
"ICEV-G","Pacific","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",1039903
"PHEV20","Pacific","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",2885
"PHEV40","Pacific","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",4789
"BEV100","South Atlantic","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",2117
"BEV300","South Atlantic","Reference","AEO2015","Light-Duty Vehicle Sales ","Car",2012,"vehicle",0
