"Fuel","Year","Value","Unit","Scenario"
"oil refining",2015,34.72962,"EJ","SSP4"
"biomass liquids",2020,1.48197302,"EJ","SSP4"
"coal to liquids",2020,0.00417673,"EJ","SSP4"
"gas to liquids",2020,0.00890497,"EJ","SSP4"
"oil refining",2020,36.02596,"EJ","SSP4"
"biomass liquids",2025,1.6700646,"EJ","SSP4"
"coal to liquids",2025,0.0127411,"EJ","SSP4"
"gas to liquids",2025,0.02694056,"EJ","SSP4"
"oil refining",2025,36.58134,"EJ","SSP4"
"biomass liquids",2030,1.98012316,"EJ","SSP4"
"coal to liquids",2030,0.03657953,"EJ","SSP4"
"gas to liquids",2030,0.07663975,"EJ","SSP4"
"oil refining",2030,36.75471,"EJ","SSP4"
"biomass liquids",2035,2.53606775,"EJ","SSP4"
"coal to liquids",2035,0.09843022,"EJ","SSP4"
"gas to liquids",2035,0.20351782,"EJ","SSP4"
"oil refining",2035,36.29347,"EJ","SSP4"
"biomass liquids",2040,3.386277725,"EJ","SSP4"
"coal to liquids",2040,0.22602087,"EJ","SSP4"
"gas to liquids",2040,0.45844489,"EJ","SSP4"
"oil refining",2040,35.49456,"EJ","SSP4"
"biomass liquids",2045,4.194100823,"EJ","SSP4"
"coal to liquids",2045,0.38777385,"EJ","SSP4"
"gas to liquids",2045,0.77332185,"EJ","SSP4"
"oil refining",2045,34.254421,"EJ","SSP4"
"biomass liquids",2050,4.696650778,"EJ","SSP4"
"coal to liquids",2050,0.52256862,"EJ","SSP4"
"gas to liquids",2050,1.02822223,"EJ","SSP4"
"oil refining",2050,32.951427,"EJ","SSP4"
"biomass liquids",2055,4.967430924,"EJ","SSP4"
"coal to liquids",2055,0.629714548,"EJ","SSP4"
"gas to liquids",2055,1.22401392,"EJ","SSP4"
"oil refining",2055,32.3832251,"EJ","SSP4"
"biomass liquids",2060,5.186622265,"EJ","SSP4"
"coal to liquids",2060,0.741390854,"EJ","SSP4"
"gas to liquids",2060,1.419404267,"EJ","SSP4"
"oil refining",2060,31.9722547,"EJ","SSP4"
"biomass liquids",2065,5.234291248,"EJ","SSP4"
"coal to liquids",2065,0.839944018,"EJ","SSP4"
"gas to liquids",2065,1.580470338,"EJ","SSP4"
"oil refining",2065,31.7986511,"EJ","SSP4"
"biomass liquids",2070,5.297604542,"EJ","SSP4"
"coal to liquids",2070,0.97502665,"EJ","SSP4"
"gas to liquids",2070,1.79418032,"EJ","SSP4"
"oil refining",2070,31.46779,"EJ","SSP4"
"biomass liquids",2075,5.36762173,"EJ","SSP4"
"coal to liquids",2075,1.13171978,"EJ","SSP4"
