Technology,Region,Aeo_case,Aeo_year,Data_type,Size,Year,Unit,Value
PHEV20,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,1818
PHEV40,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,994
BEV100,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,253
BEV300,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,236
CNG,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,1236
FCV,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,84
FFV,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,33987
HEV,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,2327
ICEV-D,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,1744
ICEV-G,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,306936
PHEV20,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,774
PHEV40,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,420
BEV100,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,490
BEV300,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,457
CNG,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,2445
FCV,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,163
FFV,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,108807
HEV,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,10302
ICEV-D,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,6805
ICEV-G,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,1136757
PHEV20,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,1917
PHEV40,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,1167
