"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"FFV","Light truck",2038,"stock","REF",2021,"vehicle",13108768
"HEV","Light truck",2038,"stock","REF",2021,"vehicle",6497910
"ICEV-D","Light truck",2038,"stock","REF",2021,"vehicle",1865516
"ICEV-G","Light truck",2038,"stock","REF",2021,"vehicle",129678360
"PHEV20","Light truck",2038,"stock","REF",2021,"vehicle",143181
"PHEV40","Light truck",2038,"stock","REF",2021,"vehicle",1845073
"BEV100","Car",2039,"stock","REF",2021,"vehicle",77653
"BEV300","Car",2039,"stock","REF",2021,"vehicle",4671305
"CNG","Car",2039,"stock","REF",2021,"vehicle",48064
"FCV","Car",2039,"stock","REF",2021,"vehicle",12751
"FFV","Car",2039,"stock","REF",2021,"vehicle",2111746
"HEV","Car",2039,"stock","REF",2021,"vehicle",5153776
"ICEV-D","Car",2039,"stock","REF",2021,"vehicle",49091
"ICEV-G","Car",2039,"stock","REF",2021,"vehicle",98924156
"PHEV20","Car",2039,"stock","REF",2021,"vehicle",1335645
"PHEV40","Car",2039,"stock","REF",2021,"vehicle",138259
"BEV100","Light truck",2039,"stock","REF",2021,"vehicle",49
"BEV300","Light truck",2039,"stock","REF",2021,"vehicle",2738573
"CNG","Light truck",2039,"stock","REF",2021,"vehicle",89678
"FCV","Light truck",2039,"stock","REF",2021,"vehicle",1532
"FFV","Light truck",2039,"stock","REF",2021,"vehicle",12992865
"HEV","Light truck",2039,"stock","REF",2021,"vehicle",6790204
"ICEV-D","Light truck",2039,"stock","REF",2021,"vehicle",1906748
"ICEV-G","Light truck",2039,"stock","REF",2021,"vehicle",129541077
"PHEV20","Light truck",2039,"stock","REF",2021,"vehicle",153320
"PHEV40","Light truck",2039,"stock","REF",2021,"vehicle",1952474
"BEV100","Car",2040,"stock","REF",2021,"vehicle",75339
"BEV300","Car",2040,"stock","REF",2021,"vehicle",5133379
"CNG","Car",2040,"stock","REF",2021,"vehicle",48068
"FCV","Car",2040,"stock","REF",2021,"vehicle",13306
"FFV","Car",2040,"stock","REF",2021,"vehicle",2076239
"HEV","Car",2040,"stock","REF",2021,"vehicle",5358912
"ICEV-D","Car",2040,"stock","REF",2021,"vehicle",42916
"ICEV-G","Car",2040,"stock","REF",2021,"vehicle",98322861
"PHEV20","Car",2040,"stock","REF",2021,"vehicle",1378858
"PHEV40","Car",2040,"stock","REF",2021,"vehicle",138792
"BEV100","Light truck",2040,"stock","REF",2021,"vehicle",45
"BEV300","Light truck",2040,"stock","REF",2021,"vehicle",3037855
"CNG","Light truck",2040,"stock","REF",2021,"vehicle",89747
"FCV","Light truck",2040,"stock","REF",2021,"vehicle",1710
"FFV","Light truck",2040,"stock","REF",2021,"vehicle",12893105
"HEV","Light truck",2040,"stock","REF",2021,"vehicle",7072936
"ICEV-D","Light truck",2040,"stock","REF",2021,"vehicle",1943570
"ICEV-G","Light truck",2040,"stock","REF",2021,"vehicle",129275177
"PHEV20","Light truck",2040,"stock","REF",2021,"vehicle",164719
"PHEV40","Light truck",2040,"stock","REF",2021,"vehicle",2051018
"BEV100","Car",2041,"stock","REF",2021,"vehicle",74021
"BEV300","Car",2041,"stock","REF",2021,"vehicle",5620591
"CNG","Car",2041,"stock","REF",2021,"vehicle",48114
"FCV","Car",2041,"stock","REF",2021,"vehicle",13906
"FFV","Car",2041,"stock","REF",2021,"vehicle",2047929
