"Technology","Year","Value","Scenario","Unit"
"water_td_elec_C",2060,4.79717509465,"SSP1","EJ"
"water_td_elec_W",2060,0.00054509465,"SSP1","EJ"
"backup_electricity",2065,0.0006773109828,"SSP1","EJ"
"elec_biomass (conv)",2065,0.282362,"SSP1","EJ"
"elec_biomass (IGCC)",2065,0.17655,"SSP1","EJ"
"elec_coal (conv pul)",2065,6.94173,"SSP1","EJ"
"elec_coal (IGCC)",2065,1.47278,"SSP1","EJ"
"elec_CSP",2065,0.282682,"SSP1","EJ"
"elec_CSP_storage",2065,1.00458,"SSP1","EJ"
"elec_gas (CC)",2065,4.38954,"SSP1","EJ"
"elec_gas (steam/CT)",2065,0.171197,"SSP1","EJ"
"elec_Gen_II_LWR",2065,0.229099,"SSP1","EJ"
"elec_Gen_III",2065,2.7501,"SSP1","EJ"
"elec_geothermal",2065,0.77139,"SSP1","EJ"
"elec_refined liquids (CC)",2065,0.134947,"SSP1","EJ"
"elec_refined liquids (steam/CT)",2065,0.00919387,"SSP1","EJ"
"global solar resource",2065,0.088280755,"SSP1","EJ"
"onshore wind resource",2065,4.60774052,"SSP1","EJ"
"water_td_elec_C",2065,4.8177529655,"SSP1","EJ"
"water_td_elec_W",2065,0.0004929655,"SSP1","EJ"
"backup_electricity",2070,0.0003879825462,"SSP1","EJ"
"elec_biomass (conv)",2070,0.330916,"SSP1","EJ"
"elec_biomass (IGCC)",2070,0.219142,"SSP1","EJ"
"elec_coal (conv pul)",2070,6.97332,"SSP1","EJ"
"elec_coal (IGCC)",2070,1.72909,"SSP1","EJ"
"elec_CSP",2070,0.36593,"SSP1","EJ"
"elec_CSP_storage",2070,1.26142,"SSP1","EJ"
"elec_gas (CC)",2070,4.25445,"SSP1","EJ"
"elec_gas (steam/CT)",2070,0.10761,"SSP1","EJ"
"elec_Gen_II_LWR",2070,0,"SSP1","EJ"
"elec_Gen_III",2070,3.06842,"SSP1","EJ"
"elec_geothermal",2070,0.803376,"SSP1","EJ"
"elec_refined liquids (CC)",2070,0.153433,"SSP1","EJ"
"elec_refined liquids (steam/CT)",2070,0.00502582,"SSP1","EJ"
"global solar resource",2070,0.078251347,"SSP1","EJ"
