"Year","Region","Source","Mix"
2006,"SERC","Coal",0.57378504633311
2006,"SERC","Natural Gas",0.12589688108846
2006,"SERC","Nuclear",0.24689568408473
2006,"SERC","Other",0.0114503345702161
2006,"SERC","Renewable",0.0419720539234835
2007,"SERC","Coal",0.565006234574154
2007,"SERC","Natural Gas",0.142319403512998
2007,"SERC","Nuclear",0.246876335170661
2007,"SERC","Other",0.0119848663835225
2007,"SERC","Renewable",0.0338131603586644
2008,"SERC","Coal",0.563928455353666
2008,"SERC","Natural Gas",0.137711132029919
2008,"SERC","Nuclear",0.251324392098453
2008,"SERC","Other",0.0105267717231171
2008,"SERC","Renewable",0.0365092487948447
2009,"SERC","Coal",0.495111941778466
2009,"SERC","Natural Gas",0.171707909529086
2009,"SERC","Nuclear",0.267563240502799
2009,"SERC","Other",0.010085109543629
2009,"SERC","Renewable",0.05553179864602
2010,"SERC","Coal",0.502236398282575
2010,"SERC","Natural Gas",0.192241128313967
2010,"SERC","Nuclear",0.249720649481674
2010,"SERC","Other",0.0101075178983101
2010,"SERC","Renewable",0.0456943060234737
2011,"SERC","Coal",0.472311172271171
2011,"SERC","Natural Gas",0.21917550115847
2011,"SERC","Nuclear",0.253417099513381
2011,"SERC","Other",0.00907851036484484
2011,"SERC","Renewable",0.046017716692134
2012,"SERC","Coal",0.405666666946017
2012,"SERC","Natural Gas",0.284622661538359
2012,"SERC","Nuclear",0.257897249633257
2012,"SERC","Other",0.00793189779726167
2012,"SERC","Renewable",0.0438815240851051
2013,"SERC","Coal",0.410543494181829
2013,"SERC","Natural Gas",0.256261382080101
2013,"SERC","Nuclear",0.261047411950838
2013,"SERC","Other",0.00887019230033045
2013,"SERC","Renewable",0.0632775194869012
2014,"SERC","Coal",0.421640105846931
2014,"SERC","Natural Gas",0.253439951815465
2014,"SERC","Nuclear",0.261536886372488
2014,"SERC","Other",0.0093930984820854
2014,"SERC","Renewable",0.0539899574830301
2015,"SERC","Coal",0.348166866653123
2015,"SERC","Natural Gas",0.323163756097624
2015,"SERC","Nuclear",0.262262245768761
2015,"SERC","Other",0.00902943599212398
2015,"SERC","Renewable",0.0573776954883676
2016,"SERC","Coal",0.323904939609119
2016,"SERC","Natural Gas",0.349858697421049
2016,"SERC","Nuclear",0.261298040709714
2016,"SERC","Other",0.00818404296478951
2016,"SERC","Renewable",0.0567542792953291
2017,"SERC","Coal",0.310664571521261
2017,"SERC","Natural Gas",0.348633358115683
2017,"SERC","Nuclear",0.269393347990314
2017,"SERC","Other",0.0068966522801639
2017,"SERC","Renewable",0.0644120700925771
2001,"SPP","Coal",0.681438820864421
2001,"SPP","Natural Gas",0.221890182146298
2001,"SPP","Nuclear",0.0559472929400995
2001,"SPP","Other",0.00771143681788621
2001,"SPP","Renewable",0.0330122672312954
2002,"SPP","Coal",0.673472114493227
2002,"SPP","Natural Gas",0.234127777530449
2002,"SPP","Nuclear",0.045540495102844
2002,"SPP","Other",0.00642226499669735
2002,"SPP","Renewable",0.0404373478767819
2003,"SPP","Coal",0.691207368389138
2003,"SPP","Natural Gas",0.227394097045909
2003,"SPP","Nuclear",0.0452303176560288
2003,"SPP","Other",0.00862956490103949
2003,"SPP","Renewable",0.0275386520078846
2004,"SPP","Coal",0.653763175575355
2004,"SPP","Natural Gas",0.242694909393735
2004,"SPP","Nuclear",0.0498151922109754
2004,"SPP","Other",0.00862411467167781
2004,"SPP","Renewable",0.0451026081482574
2005,"SPP","Coal",0.632376079835452
2005,"SPP","Natural Gas",0.271514874637575
2005,"SPP","Nuclear",0.0415719528279911
2005,"SPP","Other",0.0111374314584626
2005,"SPP","Renewable",0.0433996612405186
2006,"SPP","Coal",0.619480494921997
2006,"SPP","Natural Gas",0.297032674148953
2006,"SPP","Nuclear",0.0441387910528497
2006,"SPP","Other",0.00503931408693544
2006,"SPP","Renewable",0.0343087257892647
2007,"SPP","Coal",0.603913444691568
2007,"SPP","Natural Gas",0.286740414978473
2007,"SPP","Nuclear",0.0472856704607951
2007,"SPP","Other",0.00560886277162832
2007,"SPP","Renewable",0.056451607097535
2008,"SPP","Coal",0.596235631639214
2008,"SPP","Natural Gas",0.286642094063833
2008,"SPP","Nuclear",0.0383031336044779
2008,"SPP","Other",0.00424436378140708
2008,"SPP","Renewable",0.0745747769110676
2009,"SPP","Coal",0.580687392192527
2009,"SPP","Natural Gas",0.299093927154803
2009,"SPP","Nuclear",0.0405565818556421
2009,"SPP","Other",0.00343708986095437
2009,"SPP","Renewable",0.0762250089360731
2010,"SPP","Coal",0.567094413347383
2010,"SPP","Natural Gas",0.302290467804047
2010,"SPP","Nuclear",0.0423039128438628
2010,"SPP","Other",0.0105371815380898
2010,"SPP","Renewable",0.0777740244666182
2011,"SPP","Coal",0.574001324302562
2011,"SPP","Natural Gas",0.300924203976656
2011,"SPP","Nuclear",0.0317171483974154
2011,"SPP","Other",0.0137551354953251
2011,"SPP","Renewable",0.0796021878280421
2012,"SPP","Coal",0.524794301556412
2012,"SPP","Natural Gas",0.343048952807096
2012,"SPP","Nuclear",0.035257613193968
2012,"SPP","Other",0.0068102785591398
2012,"SPP","Renewable",0.0900888538833848
2013,"SPP","Coal",0.55205916041118
2013,"SPP","Natural Gas",0.265520188134617
2013,"SPP","Nuclear",0.0310303186562081
2013,"SPP","Other",0.0151467051299034
2013,"SPP","Renewable",0.136243627668091
2014,"SPP","Coal",0.535239019442039
2014,"SPP","Natural Gas",0.260158278068188
2014,"SPP","Nuclear",0.0377452272300448
2014,"SPP","Other",0.0177005851114717
2014,"SPP","Renewable",0.149156890148256
2015,"SPP","Coal",0.466271452690819
2015,"SPP","Natural Gas",0.301618611962876
2015,"SPP","Nuclear",0.0376516521099931
2015,"SPP","Other",0.0153566053421997
2015,"SPP","Renewable",0.179101677894112
2016,"SPP","Coal",0.404323167085911
2016,"SPP","Natural Gas",0.324790611288063
2016,"SPP","Nuclear",0.0356560587881555
2016,"SPP","Other",0.0165007353565819
2016,"SPP","Renewable",0.218729427481289
2017,"SPP","Coal",0.387620051157184
2017,"SPP","Natural Gas",0.281654459863873
2017,"SPP","Nuclear",0.0461871927598111
2017,"SPP","Other",0.015809284180104
2017,"SPP","Renewable",0.268729012039027
2001,"TRE","Coal",0.345849809776923
2001,"TRE","Natural Gas",0.504249391677301
2001,"TRE","Nuclear",0.125637249210843
2001,"TRE","Other",0.0174259265271903
2001,"TRE","Renewable",0.00683762280774202
2002,"TRE","Coal",0.349038442205067
2002,"TRE","Natural Gas",0.509552755774633
2002,"TRE","Nuclear",0.115400916993246
2002,"TRE","Other",0.0133790562187097
