"Units","scenario","region","sector","mode","technology","input","year","value"
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","FCEV","H2 enduse",2025,0.01298199
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","FCEV","H2 enduse",2030,0.02470206
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","FCEV","H2 enduse",2035,0.03900833
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","FCEV","H2 enduse",2040,0.052547276
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","FCEV","H2 enduse",2045,0.06812814
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","FCEV","H2 enduse",2050,0.08508734
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","FCEV","H2 enduse",2055,0.10350995
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","FCEV","H2 enduse",2060,0.12381848
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","FCEV","H2 enduse",2065,0.14572642
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","FCEV","H2 enduse",2070,0.16899119
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","FCEV","H2 enduse",2075,0.19333937
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","FCEV","H2 enduse",2080,0.21780009
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","FCEV","H2 enduse",2085,0.2417908
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","FCEV","H2 enduse",2090,0.2653321
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","FCEV","H2 enduse",2095,0.2882975
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","FCEV","H2 enduse",2100,0.3059779
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2015,0.245758
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2020,0.698537
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2025,1.149795
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2030,1.4393121
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2035,1.6146142
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2040,1.5970367
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2045,1.529203
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2050,1.445622
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2055,1.381825
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2060,1.3348097
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2065,1.3014696
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2070,1.2732902
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2075,1.2457904
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2080,1.2112954
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2085,1.1704028
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2090,1.123303
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2095,1.0681849
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Hybrid Liquids","refined liquids enduse",2100,1.0162412
"EJ","SSP1","USA","trn_pass_road_LDV_4W","Light Truck and SUV","Liquids","refined liquids enduse",1975,3.46803
