"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"BEV300","Light truck",2029,"sales","REF",2021,"vehicle",111635
"CNG","Light truck",2029,"sales","REF",2021,"vehicle",11746
"FCV","Light truck",2029,"sales","REF",2021,"vehicle",60
"FFV","Light truck",2029,"sales","REF",2021,"vehicle",696447
"HEV","Light truck",2029,"sales","REF",2021,"vehicle",405300
"ICEV-D","Light truck",2029,"sales","REF",2021,"vehicle",114391
"ICEV-G","Light truck",2029,"sales","REF",2021,"vehicle",7429516
"PHEV20","Light truck",2029,"sales","REF",2021,"vehicle",6769
"PHEV40","Light truck",2029,"sales","REF",2021,"vehicle",134530
"BEV100","Car",2030,"sales","REF",2021,"vehicle",3013
"BEV300","Car",2030,"sales","REF",2021,"vehicle",210172
"CNG","Car",2030,"sales","REF",2021,"vehicle",4792
"FCV","Car",2030,"sales","REF",2021,"vehicle",655
"FFV","Car",2030,"sales","REF",2021,"vehicle",104754
"HEV","Car",2030,"sales","REF",2021,"vehicle",286566
"ICEV-D","Car",2030,"sales","REF",2021,"vehicle",95
"ICEV-G","Car",2030,"sales","REF",2021,"vehicle",5501202
"PHEV20","Car",2030,"sales","REF",2021,"vehicle",89912
"PHEV40","Car",2030,"sales","REF",2021,"vehicle",6553
"BEV100","Light truck",2030,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2030,"sales","REF",2021,"vehicle",129919
"CNG","Light truck",2030,"sales","REF",2021,"vehicle",11659
"FCV","Light truck",2030,"sales","REF",2021,"vehicle",73
"FFV","Light truck",2030,"sales","REF",2021,"vehicle",687256
"HEV","Light truck",2030,"sales","REF",2021,"vehicle",419663
"ICEV-D","Light truck",2030,"sales","REF",2021,"vehicle",117639
"ICEV-G","Light truck",2030,"sales","REF",2021,"vehicle",7310624
"PHEV20","Light truck",2030,"sales","REF",2021,"vehicle",7506
"PHEV40","Light truck",2030,"sales","REF",2021,"vehicle",136688
"BEV100","Car",2031,"sales","REF",2021,"vehicle",3204
"BEV300","Car",2031,"sales","REF",2021,"vehicle",242571
"CNG","Car",2031,"sales","REF",2021,"vehicle",4874
"FCV","Car",2031,"sales","REF",2021,"vehicle",730
"FFV","Car",2031,"sales","REF",2021,"vehicle",105628
"HEV","Car",2031,"sales","REF",2021,"vehicle",303466
"ICEV-D","Car",2031,"sales","REF",2021,"vehicle",96
"ICEV-G","Car",2031,"sales","REF",2021,"vehicle",5523512
"PHEV20","Car",2031,"sales","REF",2021,"vehicle",91540
"PHEV40","Car",2031,"sales","REF",2021,"vehicle",7104
"BEV100","Light truck",2031,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2031,"sales","REF",2021,"vehicle",149317
"CNG","Light truck",2031,"sales","REF",2021,"vehicle",11694
"FCV","Light truck",2031,"sales","REF",2021,"vehicle",87
"FFV","Light truck",2031,"sales","REF",2021,"vehicle",686595
"HEV","Light truck",2031,"sales","REF",2021,"vehicle",434449
"ICEV-D","Light truck",2031,"sales","REF",2021,"vehicle",117848
"ICEV-G","Light truck",2031,"sales","REF",2021,"vehicle",7288754
"PHEV20","Light truck",2031,"sales","REF",2021,"vehicle",8309
"PHEV40","Light truck",2031,"sales","REF",2021,"vehicle",139987
"BEV100","Car",2032,"sales","REF",2021,"vehicle",3398
"BEV300","Car",2032,"sales","REF",2021,"vehicle",275687
"CNG","Car",2032,"sales","REF",2021,"vehicle",4915
"FCV","Car",2032,"sales","REF",2021,"vehicle",799
"FFV","Car",2032,"sales","REF",2021,"vehicle",106121
"HEV","Car",2032,"sales","REF",2021,"vehicle",319845
"ICEV-D","Car",2032,"sales","REF",2021,"vehicle",97
"ICEV-G","Car",2032,"sales","REF",2021,"vehicle",5528805
"PHEV20","Car",2032,"sales","REF",2021,"vehicle",94799
"PHEV40","Car",2032,"sales","REF",2021,"vehicle",7617
"BEV100","Light truck",2032,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2032,"sales","REF",2021,"vehicle",171422
"CNG","Light truck",2032,"sales","REF",2021,"vehicle",11670
"FCV","Light truck",2032,"sales","REF",2021,"vehicle",101
"FFV","Light truck",2032,"sales","REF",2021,"vehicle",681366
"HEV","Light truck",2032,"sales","REF",2021,"vehicle",448684
"ICEV-D","Light truck",2032,"sales","REF",2021,"vehicle",119444
"ICEV-G","Light truck",2032,"sales","REF",2021,"vehicle",7213597
"PHEV20","Light truck",2032,"sales","REF",2021,"vehicle",9114
"PHEV40","Light truck",2032,"sales","REF",2021,"vehicle",144208
"BEV100","Car",2033,"sales","REF",2021,"vehicle",3567
"BEV300","Car",2033,"sales","REF",2021,"vehicle",314518
"CNG","Car",2033,"sales","REF",2021,"vehicle",4971
"FCV","Car",2033,"sales","REF",2021,"vehicle",867
"FFV","Car",2033,"sales","REF",2021,"vehicle",106670
"HEV","Car",2033,"sales","REF",2021,"vehicle",336020
"ICEV-D","Car",2033,"sales","REF",2021,"vehicle",98
"ICEV-G","Car",2033,"sales","REF",2021,"vehicle",5533805
"PHEV20","Car",2033,"sales","REF",2021,"vehicle",96257
"PHEV40","Car",2033,"sales","REF",2021,"vehicle",8023
"BEV100","Light truck",2033,"sales","REF",2021,"vehicle",0
"BEV300","Light truck",2033,"sales","REF",2021,"vehicle",194543
"CNG","Light truck",2033,"sales","REF",2021,"vehicle",11707
"FCV","Light truck",2033,"sales","REF",2021,"vehicle",117
"FFV","Light truck",2033,"sales","REF",2021,"vehicle",679993
"HEV","Light truck",2033,"sales","REF",2021,"vehicle",463218
"ICEV-D","Light truck",2033,"sales","REF",2021,"vehicle",120515
"ICEV-G","Light truck",2033,"sales","REF",2021,"vehicle",7185922
"PHEV20","Light truck",2033,"sales","REF",2021,"vehicle",9934
"PHEV40","Light truck",2033,"sales","REF",2021,"vehicle",148170
"BEV100","Car",2034,"sales","REF",2021,"vehicle",3721
"BEV300","Car",2034,"sales","REF",2021,"vehicle",354385
"CNG","Car",2034,"sales","REF",2021,"vehicle",5016
"FCV","Car",2034,"sales","REF",2021,"vehicle",929
"FFV","Car",2034,"sales","REF",2021,"vehicle",107086
"HEV","Car",2034,"sales","REF",2021,"vehicle",352073
"ICEV-D","Car",2034,"sales","REF",2021,"vehicle",99
"ICEV-G","Car",2034,"sales","REF",2021,"vehicle",5533335
"PHEV20","Car",2034,"sales","REF",2021,"vehicle",97579
