"Input","Year","Value","Unit","Scenario"
"refined liquids enduse",1975,724838450162.182,"kg CO2","SSP2_26"
"delivered gas",1990,0,"kg CO2","SSP2_26"
"elect_td_trn",1990,0,"kg CO2","SSP2_26"
"H2 enduse",1990,0,"kg CO2","SSP2_26"
"refined liquids enduse",1990,840796099606.855,"kg CO2","SSP2_26"
"delivered gas",2005,0,"kg CO2","SSP2_26"
"elect_td_trn",2005,0,"kg CO2","SSP2_26"
"H2 enduse",2005,0,"kg CO2","SSP2_26"
"refined liquids enduse",2005,1087884780631.24,"kg CO2","SSP2_26"
"delivered gas",2010,0,"kg CO2","SSP2_26"
"elect_td_trn",2010,0,"kg CO2","SSP2_26"
"H2 enduse",2010,0,"kg CO2","SSP2_26"
"refined liquids enduse",2010,1020721986948.77,"kg CO2","SSP2_26"
"delivered gas",2015,6863138210,"kg CO2","SSP2_26"
"elect_td_trn",2015,494769863.468284,"kg CO2","SSP2_26"
"H2 enduse",2015,0,"kg CO2","SSP2_26"
"refined liquids enduse",2015,1041648247464.51,"kg CO2","SSP2_26"
"delivered gas",2020,18187979750,"kg CO2","SSP2_26"
"elect_td_trn",2020,5011515788.6421,"kg CO2","SSP2_26"
"H2 enduse",2020,0,"kg CO2","SSP2_26"
"refined liquids enduse",2020,1028611638198.7,"kg CO2","SSP2_26"
"delivered gas",2025,36091671682,"kg CO2","SSP2_26"
"elect_td_trn",2025,12411712948.2771,"kg CO2","SSP2_26"
"H2 enduse",2025,0,"kg CO2","SSP2_26"
"refined liquids enduse",2025,981297594030.197,"kg CO2","SSP2_26"
"delivered gas",2030,53890843199,"kg CO2","SSP2_26"
"elect_td_trn",2030,20327661337.5727,"kg CO2","SSP2_26"
"H2 enduse",2030,0,"kg CO2","SSP2_26"
"refined liquids enduse",2030,926636893935.794,"kg CO2","SSP2_26"
"delivered gas",2035,71470055810,"kg CO2","SSP2_26"
"elect_td_trn",2035,28734881645.7114,"kg CO2","SSP2_26"
"H2 enduse",2035,0,"kg CO2","SSP2_26"
"refined liquids enduse",2035,855606235175.124,"kg CO2","SSP2_26"
"delivered gas",2040,83477527701,"kg CO2","SSP2_26"
"elect_td_trn",2040,34433482390.5141,"kg CO2","SSP2_26"
"H2 enduse",2040,0,"kg CO2","SSP2_26"
"refined liquids enduse",2040,783503251931.076,"kg CO2","SSP2_26"
"delivered gas",2045,94938461214,"kg CO2","SSP2_26"
"elect_td_trn",2045,38957597310.4085,"kg CO2","SSP2_26"
"H2 enduse",2045,0,"kg CO2","SSP2_26"
"refined liquids enduse",2045,702858760553.737,"kg CO2","SSP2_26"
"delivered gas",2050,104552241327,"kg CO2","SSP2_26"
"elect_td_trn",2050,40964110532.7925,"kg CO2","SSP2_26"
"H2 enduse",2050,0,"kg CO2","SSP2_26"
"refined liquids enduse",2050,629305411416.022,"kg CO2","SSP2_26"
"delivered gas",2055,113564433160,"kg CO2","SSP2_26"
"elect_td_trn",2055,37855183667.3234,"kg CO2","SSP2_26"
"H2 enduse",2055,0,"kg CO2","SSP2_26"
"refined liquids enduse",2055,573244686977.337,"kg CO2","SSP2_26"
"delivered gas",2060,121868250990,"kg CO2","SSP2_26"
"elect_td_trn",2060,25778053452.5498,"kg CO2","SSP2_26"
"H2 enduse",2060,0,"kg CO2","SSP2_26"
"refined liquids enduse",2060,518333736974.633,"kg CO2","SSP2_26"
"delivered gas",2065,128573765860,"kg CO2","SSP2_26"
"elect_td_trn",2065,11897816277.7172,"kg CO2","SSP2_26"
"H2 enduse",2065,0,"kg CO2","SSP2_26"
"refined liquids enduse",2065,463267400833.425,"kg CO2","SSP2_26"
"delivered gas",2070,132752029560,"kg CO2","SSP2_26"
"elect_td_trn",2070,-1681328724.34989,"kg CO2","SSP2_26"
"H2 enduse",2070,0,"kg CO2","SSP2_26"
"refined liquids enduse",2070,377959109616.354,"kg CO2","SSP2_26"
"delivered gas",2075,133487665930,"kg CO2","SSP2_26"
"elect_td_trn",2075,-13852852761.0297,"kg CO2","SSP2_26"
"H2 enduse",2075,0,"kg CO2","SSP2_26"
"refined liquids enduse",2075,254050922355.019,"kg CO2","SSP2_26"
"delivered gas",2080,129363351780,"kg CO2","SSP2_26"
"elect_td_trn",2080,-24194460071.6407,"kg CO2","SSP2_26"
"H2 enduse",2080,0,"kg CO2","SSP2_26"
"refined liquids enduse",2080,34470496388.7046,"kg CO2","SSP2_26"
"delivered gas",2085,125168765150,"kg CO2","SSP2_26"
"elect_td_trn",2085,-36497042664.9755,"kg CO2","SSP2_26"
"H2 enduse",2085,0,"kg CO2","SSP2_26"
"refined liquids enduse",2085,26074933620.7053,"kg CO2","SSP2_26"
"delivered gas",2090,119200381920,"kg CO2","SSP2_26"
"elect_td_trn",2090,-50642740565.5729,"kg CO2","SSP2_26"
"H2 enduse",2090,0,"kg CO2","SSP2_26"
"refined liquids enduse",2090,15333156704.5488,"kg CO2","SSP2_26"
"delivered gas",2095,110308495760,"kg CO2","SSP2_26"
"elect_td_trn",2095,-64239875779.1864,"kg CO2","SSP2_26"
"H2 enduse",2095,0,"kg CO2","SSP2_26"
"refined liquids enduse",2095,4390762096.55513,"kg CO2","SSP2_26"
"delivered gas",2100,96399134730,"kg CO2","SSP2_26"
"elect_td_trn",2100,-75808944075.3748,"kg CO2","SSP2_26"
"H2 enduse",2100,0,"kg CO2","SSP2_26"
"refined liquids enduse",2100,9639375723.8046,"kg CO2","SSP2_26"
"delivered gas",1975,0,"kg CO2","SSP3"
"elect_td_trn",1975,0,"kg CO2","SSP3"
"H2 enduse",1975,0,"kg CO2","SSP3"
"refined liquids enduse",1975,724838450162.182,"kg CO2","SSP3"
"delivered gas",1990,0,"kg CO2","SSP3"
"elect_td_trn",1990,0,"kg CO2","SSP3"
"H2 enduse",1990,0,"kg CO2","SSP3"
"refined liquids enduse",1990,840796099606.855,"kg CO2","SSP3"
"delivered gas",2005,0,"kg CO2","SSP3"
"elect_td_trn",2005,0,"kg CO2","SSP3"
"H2 enduse",2005,0,"kg CO2","SSP3"
"refined liquids enduse",2005,1087884780631.24,"kg CO2","SSP3"
"delivered gas",2010,0,"kg CO2","SSP3"
"elect_td_trn",2010,0,"kg CO2","SSP3"
"H2 enduse",2010,0,"kg CO2","SSP3"
"refined liquids enduse",2010,1020720492794.64,"kg CO2","SSP3"
"delivered gas",2015,6935109150,"kg CO2","SSP3"
"elect_td_trn",2015,496232811.060377,"kg CO2","SSP3"
"H2 enduse",2015,0,"kg CO2","SSP3"
"refined liquids enduse",2015,1038241103299.26,"kg CO2","SSP3"
"delivered gas",2020,18479421940,"kg CO2","SSP3"
"elect_td_trn",2020,5074351360.79994,"kg CO2","SSP3"
"H2 enduse",2020,0,"kg CO2","SSP3"
"refined liquids enduse",2020,1023358019816.75,"kg CO2","SSP3"
"delivered gas",2025,36447623571,"kg CO2","SSP3"
"elect_td_trn",2025,12799598627.131,"kg CO2","SSP3"
"H2 enduse",2025,0,"kg CO2","SSP3"
"refined liquids enduse",2025,969430933524.159,"kg CO2","SSP3"
"delivered gas",2030,54043149734,"kg CO2","SSP3"
"elect_td_trn",2030,21529524757.6073,"kg CO2","SSP3"
"H2 enduse",2030,0,"kg CO2","SSP3"
"refined liquids enduse",2030,905381502963.941,"kg CO2","SSP3"
"delivered gas",2035,71497878773,"kg CO2","SSP3"
"elect_td_trn",2035,31538008143.341,"kg CO2","SSP3"
"H2 enduse",2035,0,"kg CO2","SSP3"
"refined liquids enduse",2035,826505723642.454,"kg CO2","SSP3"
"delivered gas",2040,82605925961,"kg CO2","SSP3"
"elect_td_trn",2040,40703294199.5047,"kg CO2","SSP3"
"H2 enduse",2040,0,"kg CO2","SSP3"
"refined liquids enduse",2040,762792283216.377,"kg CO2","SSP3"
"delivered gas",2045,92686221978,"kg CO2","SSP3"
"elect_td_trn",2045,50639216340.4647,"kg CO2","SSP3"
"H2 enduse",2045,0,"kg CO2","SSP3"
"refined liquids enduse",2045,699794710030.103,"kg CO2","SSP3"
"delivered gas",2050,100574625668,"kg CO2","SSP3"
"elect_td_trn",2050,61337406248.0143,"kg CO2","SSP3"
"H2 enduse",2050,0,"kg CO2","SSP3"
"refined liquids enduse",2050,644336896410.258,"kg CO2","SSP3"
"delivered gas",2055,107076722340,"kg CO2","SSP3"
"elect_td_trn",2055,69811820265.0569,"kg CO2","SSP3"
"H2 enduse",2055,0,"kg CO2","SSP3"
"refined liquids enduse",2055,603293399444.045,"kg CO2","SSP3"
"delivered gas",2060,112430299520,"kg CO2","SSP3"
"elect_td_trn",2060,77656681196.4805,"kg CO2","SSP3"
"H2 enduse",2060,0,"kg CO2","SSP3"
"refined liquids enduse",2060,569923218205.041,"kg CO2","SSP3"
"delivered gas",2065,116448241100,"kg CO2","SSP3"
"elect_td_trn",2065,84233445199.2237,"kg CO2","SSP3"
"H2 enduse",2065,0,"kg CO2","SSP3"
"refined liquids enduse",2065,545007833652.745,"kg CO2","SSP3"
"delivered gas",2070,119178317570,"kg CO2","SSP3"
"elect_td_trn",2070,89455033629.3942,"kg CO2","SSP3"
"H2 enduse",2070,0,"kg CO2","SSP3"
"refined liquids enduse",2070,522477978384.215,"kg CO2","SSP3"
"delivered gas",2075,120521445150,"kg CO2","SSP3"
"elect_td_trn",2075,89652262037.5908,"kg CO2","SSP3"
"H2 enduse",2075,0,"kg CO2","SSP3"
"refined liquids enduse",2075,500310448896.711,"kg CO2","SSP3"
"delivered gas",2080,120490700940,"kg CO2","SSP3"
"elect_td_trn",2080,92137386022.7676,"kg CO2","SSP3"
"H2 enduse",2080,0,"kg CO2","SSP3"
"refined liquids enduse",2080,476183837189.508,"kg CO2","SSP3"
"delivered gas",2085,119268049400,"kg CO2","SSP3"
"elect_td_trn",2085,95326152749.2548,"kg CO2","SSP3"
"H2 enduse",2085,0,"kg CO2","SSP3"
"refined liquids enduse",2085,449339624448.776,"kg CO2","SSP3"
"delivered gas",2090,117192046750,"kg CO2","SSP3"
"elect_td_trn",2090,98351458243.5489,"kg CO2","SSP3"
"H2 enduse",2090,0,"kg CO2","SSP3"
"refined liquids enduse",2090,420840747363.875,"kg CO2","SSP3"
"delivered gas",2095,114507302490,"kg CO2","SSP3"
"elect_td_trn",2095,100402417093.606,"kg CO2","SSP3"
"H2 enduse",2095,0,"kg CO2","SSP3"
"refined liquids enduse",2095,391643388199.84,"kg CO2","SSP3"
"delivered gas",2100,112404723630,"kg CO2","SSP3"
"elect_td_trn",2100,98279583788.8796,"kg CO2","SSP3"
"H2 enduse",2100,0,"kg CO2","SSP3"
"refined liquids enduse",2100,366210002251.66,"kg CO2","SSP3"
"delivered gas",1975,0,"kg CO2","SSP4"
"elect_td_trn",1975,0,"kg CO2","SSP4"
"H2 enduse",1975,0,"kg CO2","SSP4"
"refined liquids enduse",1975,724838450162.182,"kg CO2","SSP4"
"delivered gas",1990,0,"kg CO2","SSP4"
"elect_td_trn",1990,0,"kg CO2","SSP4"
"H2 enduse",1990,0,"kg CO2","SSP4"
"refined liquids enduse",1990,840796099606.855,"kg CO2","SSP4"
"delivered gas",2005,0,"kg CO2","SSP4"
"elect_td_trn",2005,0,"kg CO2","SSP4"
"H2 enduse",2005,0,"kg CO2","SSP4"
"refined liquids enduse",2005,1087884780631.24,"kg CO2","SSP4"
